"","run_dir","metric_loss","metric_mae","metric_val_loss","metric_val_mae","flag_nodes1","flag_nodes2","flag_nodes3","flag_dropout1","flag_dropout2","flag_dropout3","flag_batch_size","epochs","epochs_completed","metrics","model","loss_function","optimizer","learning_rate","script","start","end","completed","output","source_code","context","type"
"1","runs/2024-06-04T06-01-45Z",766260160,18211.7441,677668480,15776.2031,256,128,64,0.4,0.3,0.2,128,500,132,"runs/2024-06-04T06-01-45Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 256)                     61440       
 dropout_1 (Dropout)                (None, 256)                     0           
 dense_1 (Dense)                    (None, 128)                     32896       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 94465 (369.00 KB)
Trainable params: 94465 (369.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA58E804D0>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:01:48.81683,2024-06-04 06:02:03.40492,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-01-45Z/tfruns.d/source.tar.gz","local","training"
"2","runs/2024-06-04T06-01-28Z",881153664,20302.9414,730792256,17164.5742,128,64,64,0.4,0.2,0.2,64,500,134,"runs/2024-06-04T06-01-28Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 64)                      8256        
 dropout (Dropout)                  (None, 64)                      0           
 dense (Dense)                      (None, 1)                       65          
================================================================================
Total params: 39041 (152.50 KB)
Trainable params: 39041 (152.50 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA17993190>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:01:31.99906,2024-06-04 06:01:45.82401,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-01-28Z/tfruns.d/source.tar.gz","local","training"
"3","runs/2024-06-04T06-01-11Z",478120800,14826.1309,721934784,16074.0381,128,256,64,0.2,0.2,0.2,128,500,140,"runs/2024-06-04T06-01-11Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 256)                     33024       
 dropout (Dropout)                  (None, 256)                     0           
 dense (Dense)                      (None, 1)                       257         
================================================================================
Total params: 64001 (250.00 KB)
Trainable params: 64001 (250.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA62E426D0>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:01:13.91415,2024-06-04 06:01:28.89593,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-01-11Z/tfruns.d/source.tar.gz","local","training"
"4","runs/2024-06-04T06-00-52Z",990970176,22103.1953,686359808,15881.5215,64,64,64,0.3,0.2,0.2,128,500,238,"runs/2024-06-04T06-00-52Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 64)                      15360       
 dropout_1 (Dropout)                (None, 64)                      0           
 dense_1 (Dense)                    (None, 64)                      4160        
 dropout (Dropout)                  (None, 64)                      0           
 dense (Dense)                      (None, 1)                       65          
================================================================================
Total params: 19585 (76.50 KB)
Trainable params: 19585 (76.50 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA19353E10>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:00:55.51363,2024-06-04 06:01:10.99703,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-00-52Z/tfruns.d/source.tar.gz","local","training"
"5","runs/2024-06-04T06-00-34Z",895369344,20372.4043,706124544,16466.2168,256,64,64,0.3,0.3,0.2,32,500,89,"runs/2024-06-04T06-00-34Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 256)                     61440       
 dropout_1 (Dropout)                (None, 256)                     0           
 dense_1 (Dense)                    (None, 64)                      16448       
 dropout (Dropout)                  (None, 64)                      0           
 dense (Dense)                      (None, 1)                       65          
================================================================================
Total params: 77953 (304.50 KB)
Trainable params: 77953 (304.50 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA04CEAB10>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:00:37.02364,2024-06-04 06:00:52.60982,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-00-34Z/tfruns.d/source.tar.gz","local","training"
"6","runs/2024-06-04T06-00-19Z",585864960,16297.5928,670376192,15660.4199,128,128,64,0.2,0.2,0.2,64,500,93,"runs/2024-06-04T06-00-19Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 128)                     16512       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 47361 (185.00 KB)
Trainable params: 47361 (185.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA47C67D10>",0.00999999977648258,"ames_grid_search.R",2024-06-04 06:00:22.63253,2024-06-04 06:00:34.12065,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T06-00-19Z/tfruns.d/source.tar.gz","local","training"
"7","runs/2024-06-04T05-59-56Z",589014272,14839.7266,664653248,15358.9053,256,128,64,0.2,0.2,0.2,16,500,68,"runs/2024-06-04T05-59-56Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 256)                     61440       
 dropout_1 (Dropout)                (None, 256)                     0           
 dense_1 (Dense)                    (None, 128)                     32896       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 94465 (369.00 KB)
Trainable params: 94465 (369.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002A9EE145250>",0.00999999977648258,"ames_grid_search.R",2024-06-04 05:59:59.36988,2024-06-04 06:00:19.69834,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T05-59-56Z/tfruns.d/source.tar.gz","local","training"
"8","runs/2024-06-04T05-59-39Z",699825472,16978.5469,702526848,15774.6689,128,128,64,0.3,0.2,0.2,64,500,119,"runs/2024-06-04T05-59-39Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 128)                     16512       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 47361 (185.00 KB)
Trainable params: 47361 (185.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA1D23B150>",0.00999999977648258,"ames_grid_search.R",2024-06-04 05:59:42.63479,2024-06-04 05:59:56.48457,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T05-59-39Z/tfruns.d/source.tar.gz","local","training"
"9","runs/2024-06-04T05-59-16Z",984434240,21263.2637,699158080,16409.7148,128,128,64,0.4,0.4,0.2,64,500,133,"runs/2024-06-04T05-59-16Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 128)                     16512       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 47361 (185.00 KB)
Trainable params: 47361 (185.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002AA13AF7950>",0.00999999977648258,"ames_grid_search.R",2024-06-04 05:59:21.43566,2024-06-04 05:59:39.7638,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T05-59-16Z/tfruns.d/source.tar.gz","local","training"
"10","runs/2024-06-04T05-59-02Z",740033216,18647.2734,690995136,15937.3711,128,128,64,0.3,0.3,0.2,128,500,133,"runs/2024-06-04T05-59-02Z/tfruns.d/metrics.json","Model: ""sequential""
________________________________________________________________________________
 Layer (type)                       Output Shape                    Param #     
================================================================================
 dense_2 (Dense)                    (None, 128)                     30720       
 dropout_1 (Dropout)                (None, 128)                     0           
 dense_1 (Dense)                    (None, 128)                     16512       
 dropout (Dropout)                  (None, 128)                     0           
 dense (Dense)                      (None, 1)                       129         
================================================================================
Total params: 47361 (185.00 KB)
Trainable params: 47361 (185.00 KB)
Non-trainable params: 0 (0.00 Byte)
________________________________________________________________________________","mse","<keras.src.optimizers.rmsprop.RMSprop object at 0x000002A9D8E1E1D0>",0.00999999977648258,"ames_grid_search.R",2024-06-04 05:59:04.12856,2024-06-04 05:59:16.4975,TRUE,"
> #source : https://bradleyboehmke.github.io/HOML/deep-learning.html
> 
> # FLAGS <- flags(
> #   # Nodes
> #   flag_numeric(""nodes1"", 256),
> #   fla .... [TRUNCATED] 

> # model <- keras_model_sequential() %>%
> #   layer_dense(units = FLAGS$nodes1, activation = ""relu"", input_shape = ncol(ames_DN_train)) %>%
> #   la .... [TRUNCATED] ","runs/2024-06-04T05-59-02Z/tfruns.d/source.tar.gz","local","training"
